n_rows,phase,repetition,time_s
100000,direct_write,1,0.5162565419450402
100000,direct_write,2,0.4325582501478493
100000,direct_write,3,0.38342291698791087
100000,direct_write,4,0.382287124870345
100000,direct_write,5,0.4166507909540087
100000,wap_stage,1,0.5062395420391113
100000,wap_stage,2,0.4586097919382155
100000,wap_stage,3,0.4260845419485122
100000,wap_stage,4,0.45702816685661674
100000,wap_stage,5,0.4387158330064267
100000,wap_audit,1,0.061529541155323386
100000,wap_audit,2,0.046452959068119526
100000,wap_audit,3,0.04623587499372661
100000,wap_audit,4,0.06751570804044604
100000,wap_audit,5,0.03834279184229672
100000,wap_publish,1,0.11091329203918576
100000,wap_publish,2,0.09849858400411904
100000,wap_publish,3,0.09512587497010827
100000,wap_publish,4,0.10222287499345839
100000,wap_publish,5,0.1031559999100864
100000,wap_total,1,0.6786823752336204
100000,wap_total,2,0.6035613350104541
100000,wap_total,3,0.5674462919123471
100000,wap_total,4,0.6267667498905212
100000,wap_total,5,0.5802146247588098
500000,direct_write,1,0.6761359579395503
500000,direct_write,2,0.5975168750155717
500000,direct_write,3,0.6841977499425411
500000,direct_write,4,0.6364209169987589
500000,direct_write,5,0.674219457898289
500000,wap_stage,1,0.680250542005524
500000,wap_stage,2,0.6617864998988807
500000,wap_stage,3,0.6885419578757137
500000,wap_stage,4,0.6668062910903245
500000,wap_stage,5,0.6063513751141727
500000,wap_audit,1,0.05456533399410546
500000,wap_audit,2,0.042952582938596606
500000,wap_audit,3,0.05272279214113951
500000,wap_audit,4,0.05140445800498128
500000,wap_audit,5,0.054965625051409006
500000,wap_publish,1,0.14295404218137264
500000,wap_publish,2,0.11147358291782439
500000,wap_publish,3,0.10971991601400077
500000,wap_publish,4,0.1533099168445915
500000,wap_publish,5,0.10542612499557436
500000,wap_total,1,0.8777699181810021
500000,wap_total,2,0.8162126657553017
500000,wap_total,3,0.850984666030854
500000,wap_total,4,0.8715206659398973
500000,wap_total,5,0.7667431251611561
1000000,direct_write,1,0.9668436669744551
1000000,direct_write,2,0.9776022499427199
1000000,direct_write,3,0.957552749896422
1000000,direct_write,4,0.9740269158501178
1000000,direct_write,5,0.9663775830995291
1000000,wap_stage,1,0.9464667499996722
1000000,wap_stage,2,0.9150044578127563
1000000,wap_stage,3,0.9206567909568548
1000000,wap_stage,4,0.9521067091263831
1000000,wap_stage,5,0.9561749580316246
1000000,wap_audit,1,0.05601787497289479
1000000,wap_audit,2,0.05566087504848838
1000000,wap_audit,3,0.061104374937713146
1000000,wap_audit,4,0.06759420782327652
1000000,wap_audit,5,0.05875779199413955
1000000,wap_publish,1,0.13974666595458984
1000000,wap_publish,2,0.09426766587421298
1000000,wap_publish,3,0.08497966709546745
1000000,wap_publish,4,0.11667337501421571
1000000,wap_publish,5,0.1402747081592679
1000000,wap_total,1,1.1422312909271568
1000000,wap_total,2,1.0649329987354577
1000000,wap_total,3,1.0667408329900354
1000000,wap_total,4,1.1363742919638753
1000000,wap_total,5,1.155207458185032
5000000,direct_write,1,3.2376281251199543
5000000,direct_write,2,3.2165023339912295
5000000,direct_write,3,3.284401916898787
5000000,direct_write,4,3.2923441249877214
5000000,direct_write,5,3.2762313331477344
5000000,wap_stage,1,3.2549167091492563
5000000,wap_stage,2,3.2717546250205487
5000000,wap_stage,3,3.2380634997971356
5000000,wap_stage,4,3.528397124959156
5000000,wap_stage,5,3.4206521671731025
5000000,wap_audit,1,0.12837429204955697
5000000,wap_audit,2,0.11301395809277892
5000000,wap_audit,3,0.11284733307547867
5000000,wap_audit,4,0.13183558313176036
5000000,wap_audit,5,0.12654258287511766
5000000,wap_publish,1,0.1060306248255074
5000000,wap_publish,2,0.12484250008128583
5000000,wap_publish,3,0.08108324999921024
5000000,wap_publish,4,0.09969024988822639
5000000,wap_publish,5,0.08511537499725819
5000000,wap_total,1,3.4893216260243207
5000000,wap_total,2,3.5096110831946135
5000000,wap_total,3,3.4319940828718245
5000000,wap_total,4,3.7599229579791427
5000000,wap_total,5,3.6323101250454783
